Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BERLIN-BUCH (SECONDARY),,	1889-01-01,,Operational,Silent,Land (fixed),0-276-3-400|primary,Europe,,Germany,52.630956,13.502135,60,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,400|4438,GOS General:Operational,	2024-03-25,Silvia Kothe
BERLIN-DAHLEM,,	1848-01-01,,Operational,Operational,Land (fixed),0-20000-0-10381|primary,Europe,,Germany,52.453711,13.301731,51,Survey,UTC+1,Freie Universität Berlin,http://www.geo.fu-berlin.de/met/service/stadtmessnetz/station_dahlem.html,http://www.geo.fu-berlin.de/met/service/stadtmessnetz/index.html,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT+;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Urban and built-up(Surface cover types (IGBP)),"Closed (Regular large obstacle COVER (suburb, forest))",(inapplicable) at middle relative elevation within plains of very low altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2024-04-04,Silvia Kothe
BERLIN-TEGEL,,	1927-01-01,	2021-05-06,Closed,Unknown,Land (fixed),0-20000-0-10382|primary,Europe,,Germany,52.564402,13.308805,35.47,From map,UTC+1,German Meteorological Service,,,"Station closed permanently on May 6, 2021",Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of very low altitude,1424|4428,"CLIMAT(C) - deprecated:Closed, GOS General:Closed, RBON:Closed",	2023-07-10,Marc Kinkeldey
BERLIN-TEMPELHOF,,	1928-01-01,,Operational,Operational,Land (fixed),0-20000-0-10384|primary,Europe,,Germany,52.467551,13.401981,47.74,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks.: AUT;CLIMAT(C);M/B;RBCN;SKYRA;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Total radiation measurements.,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very low altitude,2009|4468,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, WRO:Operational",	2024-06-13,Marc Kinkeldey
BERNBURG/SAALE (SECONDARY),,	1863-03-01,,Operational,Silent,Land (fixed),0-276-3-445|primary,Europe,,Germany,51.821792,11.71098,84.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,67|1388,GOS General:Operational,	2024-03-25,Silvia Kothe
BERUS,,	1942-12-05,,Operational,Operational,Land (fixed),0-20000-0-10704|primary,Europe,,Germany,49.264058,6.686776,362.33,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Snow - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of low altitude,99|1093,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-15,Marc Kinkeldey
BEVERN (SECONDARY),,	1934-04-01,,Operational,Silent,Land (fixed),0-276-3-2323|primary,Europe,,Germany,51.85294,9.495274,110,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of low altitude,42|1399,GOS General:Operational,	2024-03-08,Silvia Kothe
BIELEFELD (SECONDARY),,	2006-04-01,,Operational,Unknown,Land (fixed),0-276-3-7106|primary,Europe,,Germany,52.071449,8.456493,105,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of low altitude,275|2652,GOS General:Operational,	2024-03-14,Silvia Kothe
BIRX/RHOEN (SECONDARY),,	1824-05-01,,Operational,Silent,Land (fixed),0-276-3-1411|primary,Europe,,Germany,50.53092,10.047947,747,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,14|858,GOS General:Operational,	2024-08-07,Marc Kinkeldey
BLANKENRATH (SECONDARY),,	1901-07-01,,Operational,Unknown,Land (fixed),0-276-3-535|primary,Europe,,Germany,50.037229,7.307861,417,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,19|1179,GOS General:Operational,	2024-05-17,Silvia Kothe
BOIZENBURG,,	1888-06-01,,Operational,Operational,Land (fixed),0-20000-0-10249|primary,Europe,,Germany,53.391093,10.68781,44.72,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),"Very rough (Parkland, bushes; numerous obstacles, x/H ~ 10)",(unknown) at middle relative elevation within rises of very low altitude,31|1828,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-01,Silvia Kothe
BOLTENHAGEN,,	1888-01-01,,Operational,Operational,Land (fixed),0-20000-0-10161|primary,Europe,,Germany,54.002724,11.19082,15,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks.: AUT;C;CLIMAT(C);M/B;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),"Very rough (Parkland, bushes; numerous obstacles, x/H ~ 10)",(unknown) at low relative elevation within rises of very low altitude,7|777,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-02,Silvia Kothe
BOOSTEDT (RADAR),,	2012-06-19,,Operational,Unknown,Land (fixed),0-20000-0-10132|primary,Europe,,Germany,54.004381,10.046899,92,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,A hilltop at highest relative elevation within hollows of very low altitude,,"GOS General:Operational, Non-affiliated:Non-reporting, WRO:Operational",	2024-01-12,Silvia Kothe
BORKUM (SECONDARY),,	2005-11-23,,Operational,Unknown,Land (fixed),0-276-3-7373|primary,Europe,,Germany,53.598385,6.702417,3,From map,UTC+1,German Meteorological Service,,,,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,5|170,GOS General:Operational,	2024-03-08,Silvia Kothe
BRAUNLAGE,,	1878-06-01,,Operational,Operational,Land (fixed),0-20000-0-10452|primary,Europe,,Germany,51.723383,10.602109,607.3,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Snow - Fully humid - Cool summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,9|971,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-01,Marc Kinkeldey
BRAUNSCHWEIG,,	1939-12-01,,Operational,Operational,Land (fixed),0-20000-0-10348|primary,Europe,,Germany,52.291469,10.446448,81.44,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;AUT;CLIMAT(C);M/B;PH;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Phenological observations; Sky radiation measurements; Snow survey; Total radiation measurements.,Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very low altitude,256|2028,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-05-31,Silvia Kothe
BREMEN,,	1796-01-01,,Operational,Operational,Land (fixed),0-20000-0-10224|primary,Europe,,Germany,53.04507,8.798084,4.04,Survey,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Warm Temperate - Fully humid - Warm summer,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of very low altitude,474|1646,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-07-05,Silvia Kothe
BREMERHAVEN,,	1913-01-01,,Operational,Operational,Land (fixed),0-20000-0-10129|primary,Europe,,Germany,53.53321,8.576089,6.45,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;C;CLIMAT(C);M/B;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Warm Temperate - Fully humid - Warm summer,Water bodies(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of very low altitude,163|1041,"CLIMAT(C) - deprecated:Closed, GCW affiliated station, GOS General:Operational",	2024-07-08,Silvia Kothe
BREMERVOERDE,,	1978-12-08,,Operational,Operational,Land (fixed),0-20000-0-10139|primary,Europe,,Germany,53.445118,9.13903,10.57,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Warm Temperate - Fully humid - Warm summer,Cropland/Natural vegetation mosaic(Surface cover types (IGBP)),,(unknown) at low relative elevation within hollows of very low altitude,27|1725,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-08,Silvia Kothe
BRILON (SECONDARY),,	2002-11-15,,Operational,Unknown,Land (fixed),0-276-3-6264|primary,Europe,,Germany,51.413998,8.649983,457,,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,29|1156,GOS General:Operational,	2024-03-15,Silvia Kothe
BROCKEN,,	1836-01-01,,Operational,Operational,Land (fixed),0-20000-0-10453|primary,Europe,,Germany,51.798615,10.61828,1134.68,Survey,UTC+1,German Meteorological Service,,http://www.dwd.de/SharedDocs/broschueren/DE/presse/standorte/ww_brocken_pdf.html,Station running in full automated mode (AUT),Snow - Fully humid - Cool summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at highest relative elevation within hills of middle altitude,21|1037,"CLIMAT(C) - deprecated:Closed, Centennial Observing Stations:Operational, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-08-02,Silvia Kothe
"BUCHEN,KR.NECKAR-ODW.(SECONDARY)",,	1868-12-01,,Operational,Unknown,Land (fixed),0-276-3-755|primary,Europe,,Germany,49.518188,9.321293,340,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,37|1579,GOS General:Operational,	2024-05-23,Silvia Kothe
BUECHEL-ALFEN,,	1958-12-01,,Operational,Operational,Land (fixed),0-20000-0-10613|primary,Europe,,Germany,50.174545,7.05952,477,From map,UTC+1,Geoinformation Service of the German Armed Forces,,,"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT+;METAR;NOT ON 6,7 & PUBLIC HOLIDAYS/SAUF 6,7 & JOURS FERIES;ON/LE 5;SNOW;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.",Warm Temperate - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,30|1112,GOS General:Operational,	2024-03-25,Marc Kinkeldey
BUECKEBURG,,	1958-09-22,,Operational,Operational,Land (fixed),0-20000-0-10335|primary,Europe,,Germany,52.281691,9.08895,68,From map,UTC+1,Geoinformation Service of the German Armed Forces,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SOILTEMP;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of very low altitude,106|2444,GOS General:Operational,	2024-03-25,Marc Kinkeldey
